time_,run no,cellno_db,compno,cell_no,layer,volume,elevation (top),area (top),MeHg (unfilt),MeHg (diss),MeHg (solids),MeHg (phyto),MeHg (zoo),HgII (unfilt),HgII (diss),HgII (solids),HgInert,HgII (phyto),Hg (zoo),Hg0,MeHg Mass,HgII mass,HgInert mass,mass Hg0
25550.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.050181e-001,9.875924e-002,7.823578e-003,0.000000e+000,0.000000e+000,2.474152e+000,2.356449e+000,1.471290e-001,0.000000e+000,0.000000e+000,0.000000e+000,5.649206e-002,1.285443e+005,3.028411e+006,0.000000e+000,6.914741e+004
29200.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.051462e-001,8.921412e-002,7.067711e-003,1.098466e-002,4.393862e-002,2.459566e+000,2.356567e+000,1.471423e-001,0.000000e+000,6.527273e-016,1.631818e-016,5.580947e-002,1.510128e+005,3.532472e+006,0.000000e+000,8.015454e+004
29200.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.058777e-001,9.956748e-002,7.887760e-003,0.000000e+000,0.000000e+000,2.466899e+000,2.349539e+000,1.467004e-001,0.000000e+000,0.000000e+000,0.000000e+000,5.633939e-002,1.295964e+005,3.019534e+006,0.000000e+000,6.896054e+004
32850.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.059956e-001,8.993472e-002,7.125087e-003,1.107336e-002,4.429345e-002,2.445889e+000,2.343458e+000,1.463297e-001,0.000000e+000,6.490955e-016,1.622739e-016,5.547966e-002,1.522328e+005,3.512829e+006,0.000000e+000,7.968086e+004
32850.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.067543e-001,1.003916e-001,7.953364e-003,0.000000e+000,0.000000e+000,2.453146e+000,2.336436e+000,1.458881e-001,0.000000e+000,0.000000e+000,0.000000e+000,5.600574e-002,1.306694e+005,3.002700e+006,0.000000e+000,6.855215e+004
36500.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.069833e-001,9.077213e-002,7.192487e-003,1.117640e-002,4.470561e-002,2.398698e+000,2.298229e+000,1.435266e-001,0.000000e+000,6.365639e-016,1.591410e-016,5.302056e-002,1.536512e+005,3.445052e+006,0.000000e+000,7.614906e+004
36500.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.077670e-001,1.013430e-001,8.029919e-003,0.000000e+000,0.000000e+000,2.405537e+000,2.291076e+000,1.430768e-001,0.000000e+000,0.000000e+000,0.000000e+000,5.351824e-002,1.319089e+005,2.944425e+006,0.000000e+000,6.550739e+004
36505.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.076273e-001,9.131871e-002,7.235591e-003,1.124371e-002,4.497485e-002,2.406821e+000,2.306015e+000,1.440087e-001,0.000000e+000,6.387211e-016,1.596803e-016,5.160964e-002,1.545763e+005,3.456719e+006,0.000000e+000,7.412266e+004
36505.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.084172e-001,1.019547e-001,8.078171e-003,0.000000e+000,0.000000e+000,2.412946e+000,2.298134e+000,1.435139e-001,0.000000e+000,0.000000e+000,0.000000e+000,5.214677e-002,1.327048e+005,2.953494e+006,0.000000e+000,6.382869e+004
36510.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.082334e-001,9.183306e-002,7.276159e-003,1.130705e-002,4.522822e-002,2.414170e+000,2.313059e+000,1.444449e-001,0.000000e+000,6.406728e-016,1.601682e-016,5.027054e-002,1.554467e+005,3.467274e+006,0.000000e+000,7.219943e+004
36510.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.090331e-001,1.025340e-001,8.123860e-003,0.000000e+000,0.000000e+000,2.420406e+000,2.305243e+000,1.439540e-001,0.000000e+000,0.000000e+000,0.000000e+000,5.079048e-002,1.334586e+005,2.962625e+006,0.000000e+000,6.216856e+004
36515.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.088056e-001,9.231862e-002,7.314453e-003,1.136685e-002,4.546740e-002,2.421151e+000,2.319750e+000,1.448592e-001,0.000000e+000,6.425267e-016,1.606317e-016,4.897517e-002,1.562685e+005,3.477300e+006,0.000000e+000,7.033900e+004
36515.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.096144e-001,1.030808e-001,8.166984e-003,0.000000e+000,0.000000e+000,2.427492e+000,2.311994e+000,1.443720e-001,0.000000e+000,0.000000e+000,0.000000e+000,4.947847e-002,1.341702e+005,2.971298e+006,0.000000e+000,6.056264e+004
36520.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.093456e-001,9.277693e-002,7.350596e-003,1.142329e-002,4.569317e-002,2.427783e+000,2.326106e+000,1.452528e-001,0.000000e+000,6.442879e-016,1.610720e-016,4.772205e-002,1.570441e+005,3.486825e+006,0.000000e+000,6.853924e+004
36520.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.101632e-001,1.035970e-001,8.207689e-003,0.000000e+000,0.000000e+000,2.434223e+000,2.318408e+000,1.447691e-001,0.000000e+000,0.000000e+000,0.000000e+000,4.820924e-002,1.348419e+005,2.979538e+006,0.000000e+000,5.900908e+004
36525.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.098554e-001,9.320952e-002,7.384708e-003,1.147656e-002,4.590626e-002,2.434085e+000,2.332146e+000,1.456268e-001,0.000000e+000,6.459614e-016,1.614903e-016,4.650973e-002,1.577762e+005,3.495875e+006,0.000000e+000,6.679809e+004
36525.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.106811e-001,1.040842e-001,8.246104e-003,0.000000e+000,0.000000e+000,2.440619e+000,2.324502e+000,1.451464e-001,0.000000e+000,0.000000e+000,0.000000e+000,4.698135e-002,1.354759e+005,2.987366e+006,0.000000e+000,5.750611e+004
36530.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.103365e-001,9.361783e-002,7.416902e-003,1.152685e-002,4.610739e-002,2.440073e+000,2.337886e+000,1.459822e-001,0.000000e+000,6.475517e-016,1.618879e-016,4.533687e-002,1.584672e+005,3.504476e+006,0.000000e+000,6.511360e+004
36530.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.111700e-001,1.045441e-001,8.282363e-003,0.000000e+000,0.000000e+000,2.446697e+000,2.330293e+000,1.455049e-001,0.000000e+000,0.000000e+000,0.000000e+000,4.579341e-002,1.360743e+005,2.994806e+006,0.000000e+000,5.605204e+004
36535.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.107942e-001,9.400617e-002,7.447613e-003,1.157467e-002,4.629867e-002,2.441914e+000,2.339650e+000,1.460913e-001,0.000000e+000,6.480408e-016,1.620102e-016,4.443197e-002,1.591245e+005,3.507120e+006,0.000000e+000,6.381398e+004
36535.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.116334e-001,1.049800e-001,8.316798e-003,0.000000e+000,0.000000e+000,2.449861e+000,2.333307e+000,1.456915e-001,0.000000e+000,0.000000e+000,0.000000e+000,4.480006e-002,1.366416e+005,2.998678e+006,0.000000e+000,5.483617e+004
36540.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.112284e-001,9.437461e-002,7.476735e-003,1.162004e-002,4.648014e-002,2.444256e+000,2.341895e+000,1.462301e-001,0.000000e+000,6.486627e-016,1.621657e-016,4.351585e-002,1.597481e+005,3.510483e+006,0.000000e+000,6.249822e+004
36540.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.120737e-001,1.053941e-001,8.349523e-003,0.000000e+000,0.000000e+000,2.452229e+000,2.335564e+000,1.458310e-001,0.000000e+000,0.000000e+000,0.000000e+000,4.387415e-002,1.371804e+005,3.001577e+006,0.000000e+000,5.370284e+004
36545.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.116404e-001,9.472429e-002,7.504373e-003,1.166309e-002,4.665238e-002,2.446505e+000,2.344050e+000,1.463634e-001,0.000000e+000,6.492599e-016,1.623150e-016,4.262421e-002,1.603400e+005,3.513713e+006,0.000000e+000,6.121764e+004
